,sqlite,postgresql,duckdb,arithmetic_mean
SELECT,0.9715395219905673,0.3666421748714181,0.5171272816034281,0.6184363261551379
INSERT,0.015718600672686003,0.11064848831197105,0.11724661658213772,0.08120456852226492
DROP VIEW,0.003938494193323639,0.0027485236890086267,0.0007865259960402485,0.0024911812927908383
DELETE,0.0026841278778525356,0.008544915231175334,0.009112852919638741,0.006780632009555536
CREATE VIEW,0.0019691795850194367,0.00824557106702588,0.00743131458327683,0.005882021745107382
CREATE INDEX,0.001533054375227008,0.012654094211772389,0.006427815898673754,0.006871654828557717
CREATE TABLE,0.0010606079018326711,0.061011783274825156,0.10116351604241816,0.05441196907302533
CREATE UNIQUE,0.0008039286374935358,0.0035921299697934525,0.0008950123403216621,0.0017636903158695502
DROP TABLE,0.0007454635551900925,0.026315073339320216,0.02373138781155922,0.01693064156868984
UPDATE,2.025349271481867e-06,0.01899474787057447,0.011255458219196659,0.010084077146347537
DROP TRIGGER,1.8903259867164092e-06,0.0016599994557378833,0.0,0.0005539632605748666
CREATE TRIGGER,1.7553027019509515e-06,0.005850817753830244,0.0,0.0019508576855107318
DROP INDEX,5.400931390618312e-07,0.002802949900672164,0.0012204713731659028,0.0013413204556590428
REINDEX,2.700465695309156e-07,0.002476392630690941,0.0,0.0008255542257534906
REPLACE,2.700465695309156e-07,0.0,0.0,9.001552317697187e-08
CREATE TEMP,1.350232847654578e-07,0.009225242876969549,0.0003525806189145941,0.0031926528397229694
CREATE TEMPORARY,1.350232847654578e-07,0.0008436062807848259,0.0023053348159800383,0.0010496920400165433
ALTER TABLE,0.0,0.04008490489019512,0.009628163054975455,0.01657102264839019
SET,0.0,0.036275070073747515,0.011526674079900193,0.01593391471788257
EXPLAIN,0.0,0.033172776008925896,0.01654416750291557,0.016572314503947156
CLI_COMMAND,0.0,0.027158679620105042,0.0,0.009052893206701681
CREATE FUNCTION,0.0,0.016545568345715297,0.00032545903284424073,0.00562367579285318
RESET,0.0,0.011565569978501646,0.00018985110249247376,0.003918473693664707
BEGIN,0.0,0.011293438920183961,0.007377071411136123,0.006223503443773361
ROLLBACK,0.0,0.008027866220371731,0.004502183287678664,0.004176683169350132
DROP FUNCTION,0.0,0.0073475385745775165,2.7121586070353394e-05,0.00245822005354929
ANALYZE,0.0,0.006857702669605682,0.00032545903284424073,0.002394387234149974
GRANT,0.0,0.006476719187960922,0.0,0.002158906395986974
COPY,0.0,0.006014096388820856,0.012584415936643976,0.006199504108488278
FETCH,0.0,0.00593245707132555,0.0,0.00197748569044185
CREATE OR REPLACE FUNCTION,0.0,0.005061637684708956,0.0,0.001687212561569652
WITH,0.0,0.004653441097232427,0.009601041468905102,0.004751494188712509
ALTER PUBLICATION,0.0,0.004490162462241816,0.0,0.001496720820747272
EXECUTE,0.0,0.004190818298092361,0.007566922513628597,0.00391924693724032
CREATE TYPE,0.0,0.004054752768933518,0.002929131295598167,0.002327961354843895
COMMIT,0.0,0.003973113451438213,0.003308833500583114,0.002427315650673776
VACUUM,0.0,0.0038642610281111383,0.00013560793035176697,0.0013332896528209686
DROP ROLE,0.0,0.0036737692872887582,0.0,0.0012245897624295861
MERGE,0.0,0.0033199989114757666,0.0,0.0011066663038252556
CREATE AGGREGATE,0.0,0.003238359593980461,0.0,0.001079453197993487
CREATE ROLE,0.0,0.003102294064821618,0.0,0.001034098021607206
TRUNCATE,0.0,0.0027485236890086267,0.00018985110249247376,0.0009794582638337002
CREATE POLICY,0.0,0.002721310583176858,0.0,0.0009071035277256194
ALTER OPERATOR,0.0,0.0026396712656815524,0.0,0.0008798904218938508
ALTER FOREIGN,0.0,0.0025852450540180152,0.0,0.0008617483513393384
ALTER TYPE,0.0,0.0025580319481862466,2.7121586070353394e-05,0.0008617178447522001
CREATE DOMAIN,0.0,0.0025036057365227095,0.0,0.0008345352455075699
DECLARE,0.0,0.0024491795248591723,0.0,0.0008163931749530575
COMMENT,0.0,0.0024219664190274037,0.0,0.0008073221396758013
CREATE STATISTICS,0.0,0.0023675402073638665,0.0,0.0007891800691212889
REVOKE,0.0,0.0023131139957003294,0.0,0.0007710379985667765
ALTER INDEX,0.0,0.002258687784036792,0.0,0.0007528959280122641
CREATE SCHEMA,0.0,0.0021770484665414864,0.002685037020964986,0.0016206951625021577
CREATE USER,0.0,0.0021770484665414864,0.0,0.0007256828221804955
CREATE OPERATOR,0.0,0.0021770484665414864,0.0,0.0007256828221804955
CREATE PUBLICATION,0.0,0.002149835360709718,0.0,0.0007166117869032393
DROP TYPE,0.0,0.0021226222548779493,0.0012475929592362562,0.001123405071371402
CREATE RULE,0.0,0.0020409829373826435,0.0,0.0006803276457942145
SHOW,0.0,0.0020409829373826435,0.0006509180656884815,0.0008973003343570417
DROP USER,0.0,0.0019321305140555692,0.0,0.0006440435046851898
PREPARE,0.0,0.0018232780907284948,0.004610669631960077,0.0021446492408961904
SAVEPOINT,0.0,0.0017688518790649576,0.0,0.0005896172930216526
CREATE SEQUENCE,0.0,0.0016327863499061147,0.0034173198448645276,0.0016833687315902142
DROP OPERATOR,0.0,0.0016055732440743461,0.0,0.0005351910813581154
DROP DOMAIN,0.0,0.0014695077149155032,0.0,0.0004898359049718344
DO,0.0,0.0014695077149155032,0.0,0.0004898359049718344
DROP SCHEMA,0.0,0.0014150815032519662,0.0005966748935477747,0.0006705854655999137
CREATE FOREIGN,0.0,0.0014150815032519662,0.0,0.0004716938344173221
CREATE MATERIALIZED,0.0,0.0013334421857566605,0.0,0.0004444807285855535
ALTER SUBSCRIPTION,0.0,0.0012245897624295861,0.0,0.00040819658747652873
ALTER TEXT,0.0,0.001170163550766049,0.0,0.00039005451692201634
CREATE TEXT,0.0,0.001170163550766049,0.0,0.00039005451692201634
ALTER DOMAIN,0.0,0.0011429504449342804,0.0,0.00038098348164476015
/*,0.0,0.0011429504449342804,0.0,0.00038098348164476015
LOCK,0.0,0.0010885242332707432,0.0,0.00036284141109024776
ALTER FUNCTION,0.0,0.001034098021607206,0.0,0.00034469934053573537
DROP FOREIGN,0.0,0.001034098021607206,0.0,0.00034469934053573537
DROP PUBLICATION,0.0,0.0009524587041119003,0.0,0.0003174862347039668
CALL,0.0,0.0008980324924483631,0.002603672262753926,0.001167234918400763
CREATE SERVER,0.0,0.0008436062807848259,0.0,0.000281202093594942
CLOSE,0.0,0.0008436062807848259,0.0,0.000281202093594942
REFRESH,0.0,0.0008436062807848259,0.0,0.000281202093594942
CREATE SUBSCRIPTION,0.0,0.0008163931749530574,0.0,0.0002721310583176858
ALTER SERVER,0.0,0.0007891800691212888,0.0,0.0002630600230404296
CREATE OR REPLACE VIEW,0.0,0.0007619669632895202,0.0006237964796181281,0.0004619211476358828
DROP RULE,0.0,0.0007347538574577516,0.0,0.0002449179524859172
CREATE COLLATION,0.0,0.0007347538574577516,0.0,0.0002449179524859172
ALTER ROLE,0.0,0.0007347538574577516,0.0,0.0002449179524859172
ALTER SEQUENCE,0.0,0.0007347538574577516,0.0008407691681809553,0.000525174341879569
DROP POLICY,0.0,0.0007075407516259831,0.0,0.00023584691720866105
TABLE,0.0,0.0007075407516259831,0.0,0.00023584691720866105
CLUSTER,0.0,0.0006803276457942145,0.0,0.00022677588193140486
DROP STATISTICS,0.0,0.0006803276457942145,0.0,0.00022677588193140486
DROP SEQUENCE,0.0,0.000653114539962446,0.0014103224756583765,0.0006878123385402741
CREATE EVENT,0.0,0.000653114539962446,0.0,0.00021770484665414866
ALTER VIEW,0.0,0.000653114539962446,0.0004068237910553009,0.00035331277700591566
CREATE PROCEDURE,0.0,0.0006259014341306774,0.0,0.00020863381137689246
CREATE CAST,0.0,0.0005714752224671402,0.0,0.00019049174082238007
END,0.0,0.000517049010803603,0.0,0.00017234967026786768
DROP SERVER,0.0,0.0004898359049718344,0.0,0.0001632786349906115
ALTER POLICY,0.0,0.00046262279914006585,0.0,0.0001542075997133553
DROP AGGREGATE,0.0,0.00046262279914006585,0.0,0.0001542075997133553
DROP PROCEDURE,0.0,0.00046262279914006585,0.0,0.0001542075997133553
ALTER AGGREGATE,0.0,0.00043540969330829727,0.0,0.0001451365644360991
ALTER STATISTICS,0.0,0.00043540969330829727,0.0,0.0001451365644360991
DROP OWNED,0.0,0.00043540969330829727,0.0,0.0001451365644360991
:INIT_RANGE_PARTED,0.0,0.0004081965874765287,0.0,0.0001360655291588429
:SHOW_DATA,0.0,0.0003809834816447601,0.0,0.0001269944938815867
DEALLOCATE,0.0,0.0003809834816447601,0.00032545903284424073,0.00023548083816300028
DROP EVENT,0.0,0.0003809834816447601,0.0,0.0001269944938815867
DROP TEXT,0.0,0.0003809834816447601,0.0,0.0001269944938815867
(SELECT,0.0,0.00035377037581299156,0.0005966748935477747,0.00031681508978692206
ALTER USER,0.0,0.00035377037581299156,0.0,0.00011792345860433053
CREATE UNLOGGED,0.0,0.00035377037581299156,0.0,0.00011792345860433053
DROP MATERIALIZED,0.0,0.00035377037581299156,0.0,0.00011792345860433053
ALTER CONVERSION,0.0,0.000326557269981223,0.0,0.00010885242332707433
DROP SUBSCRIPTION,0.0,0.000326557269981223,0.0,0.00010885242332707433
DROP COLLATION,0.0,0.0002721310583176858,0.0,9.071035277256194e-05
ALTER EVENT,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
DROP CAST,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
CREATE OR REPLACE TEMP,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
ALTER LANGUAGE,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
ALTER MATERIALIZED,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
ALTER DEFAULT,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
CREATE CONVERSION,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
SECURITY,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
MOVE,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
CREATE ACCESS,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
ALTER COLLATION,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
DROP CONVERSION,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
DROP ACCESS,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
ALTER TABLESPACE,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
CREATE TABLESPACE,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
CREATE OR REPLACE RULE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
DROP GROUP,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
SELECT(SELECT,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
REASSIGN,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
RELEASE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
CREATE OR REPLACE AGGREGATE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
DROP DATABASE,0.0,0.00010885242332707432,2.7121586070353394e-05,4.532466979914257e-05
DROP LANGUAGE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
CREATE GROUP,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
ALTER SCHEMA,0.0,0.00010885242332707432,2.7121586070353394e-05,4.532466979914257e-05
ALTER ROUTINE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
DROP TABLESPACE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
DISCARD,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
IMPORT,0.0,0.00010885242332707432,0.0005153101353367145,0.00020805418622126296
START,0.0,8.163931749530574e-05,0.0007051612378291882,0.0002622668517748313
DROP ROUTINE,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ALTER PROCEDURE,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ABORT,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ALTER GROUP,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
CREATE DEFAULT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
UNLISTEN,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
VALUES,0.0,5.442621166353716e-05,8.136475821106018e-05,4.5263656624865785e-05
CREATE  ,0.0,5.442621166353716e-05,0.0003797022049849475,0.00014470947221616157
(((SELECT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
CHECKPOINT,0.0,5.442621166353716e-05,0.005342952455859619,0.0017991262225077187
CREATE CONSTRAINT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
*,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
:QRY,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
LOAD,0.0,5.442621166353716e-05,0.0003797022049849475,0.00014470947221616157
CREATE OR REPLACE PROCEDURE,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
CREATE LANGUAGE,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
LISTEN,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
DROP REWRITE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP INSTANCE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP TUPLE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
XXX,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE FOO,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
"VALUES(1,",0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP EXTENSION,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP EXTENSION TEST_EXTENSION_EXISTS,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
BOGUS,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE TRANSFORM,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER TRIGGER,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER DATABASE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER LARGE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
1,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE RECURSIVE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
